radical,kanjilist
匸,亡
匹,甚
区,駆躯鴎枢殴欧
医,醫翳
匿,慝
區,嘔嫗嶇奩樞甌驅歐毆傴謳
十,孛專專貭乾盾煢阜卉挿懐直喪支幹惠惠蝨真夲傘壊索訊竍叶計皐戎隼鴇古干針籵辻辛韓斡戟翰卒卆半瓧朝廾廾卑聽協率鵯早博南千汁什卍聴
卂,迅
千,刋瓩挿挿插竏粁仟歃垂阡熏重乖乗
卅,丗
卆,伜翆粋忰枠砕酔
升,飛飛昇陞枡
午,忤杵許卸
卉,尭奔賁
半,絆袢拌胖叛判伴畔
卑,俾睥脾髀痺裨碑婢顰牌稗
卒,倅悴瘁醉翠碎猝萃粹埣淬
卓,罩悼綽掉棹倬啅
南,楠献遖喃
単,褝禅弾戦蝉箪騨
卜,卦睿朴占下上訃赴止鹵外卓仆疋貞
卞,抃
占,鮎點砧覘苫笘黏岾店点粘站拈沾貼帖
卦,褂掛罫
卩,即報宛印範却卻卯卷卮抑夘苑叩命氾怨昂令鴛厄卸服
卬,仰迎
卯,留聊卵劉昴鉚茆柳貿
危,詭跪脆鮠
即,卿節喞
却,脚
卵,孵
卷,蜷惓圈綣倦
卸,啣御
厂,蔵糒厘貭厥蛎厦后盾砺厭厮鳫勵卮厠備戉栃歴灰鴈纒釐广遞辰雁戚戚励嚴圧崖巵岸産啀仄鞴厰原厄褫彦厳暦厚乕反厖厨睚厩
厄,阨危軛扼
厓,涯
厘,甅糎竰
原,愿願源
厥,蹶蕨獗
厭,壓靨黶魘
厳,巌
厶,育公払宏勾肱私窓台弘鬼広強紘嚔能弁㐬矣牟至云畆簒畚參晉晉参厶瓜去允仏
厷,雄
去,却劫怯盍法刧
参,鯵惨
參,鰺蔘驂滲慘
又,報竪壑暇緊雙叉叉支粲掻凾赧叙歿盈腎度殳賢遐餐叟隻圣燮叔曼叡瑕蝦受取鰕双双堅亟沒友葭豎及頚収反奴騒服馭
叉,靫釵扠蚤
及,汲吸笈岌級扱
友,抜髪爰
反,汳鈑飯版皈板叛仮坂販返阪
叔,寂椒俶督菽淑
取,娶娵聚陬趣掫叢輙諏最
受,授綬
叟,嫂捜痩搜艘溲
