radical,kanjilist
貝,貮贇貭贓贊貢負贅賈貯贐贄財贋責贔贔贔贏貸貫狽齎贍貧贖貪罌罌賻購賺唄賽嬰嬰屓瑣敗賜賛賠寶賢賭賚賣則戝寳賞質賓賦賤賑賂貶賍賎買賃賁販貼費貨賀貴員鵙貿貰賄贈鎖賊資貳貞貲貽頁
貞,禎碵遉偵幀
貢,熕槓
貫,樌實慣
責,嘖磧績積債蹟勣漬簀
貳,膩
貴,饋簣潰遺匱瞶
賁,噴墳濆憤
賈,價
賓,濱鬢殯擯嬪繽檳
賛,鑚纉讃攅
賞,償
賣,贖竇犢續牘覿讀黷
賤,濺
質,躓
贈,囎
贊,鑽讚
赤,赫赫赦赧赭
赦,螫
赫,嚇
走,徒跿赱趙赳起赴趣越超趁趨
足,蹲躙跿蹙跳蹤躪蹴蹠蹈蹉蹼蹣跨践跼躡蹶踐踟踝踊踞踏踰趾捉踪跋跌促跏踵踉跂趺踈踴蹊蹇躋躄跫跟躑躅蹟蹐蹄躊躓躇跪距齪蹌蹕躍跖跣跚蹂躁跡跛路躔
路,蕗露鷺
身,躬軈躯躰軅躱躾軆射
躬,窮
車,輟輸輅輹輌輊輓輒範較輕輩輜撃輛輔軽軾陣轤軻轡轉軼轢繋轣斬轆軒軫軸軟庫轌轅轄轟轟轟轜軛転轗轎轍軣軋輙輿軌俥輦輳輾輪軍連輻輯載
軍,褌揮輝皹皸諢運渾鶤琿葷暉暈
載,鐵鐡
轉,囀
辛,宰薛辧辧辭辣辮辮辯辯辟辞辨辨辜瓣瓣梓
辟,僻薜甓璧避譬臂劈壁霹嬖擘襞闢癖躄檗
辰,振娠脣晨震唇辱農賑蜃宸
辱,蓐耨褥縟溽
農,膿儂濃
辶,逹逑逅逋逞髓逗逎逍逖迴逕迺遽遲遙遘遯遉遡遶邉膸遞遒辿迄邊邇遐遑隨辷邂遁遜遨遏迂辻邁遖邏邀迦這暹迥迹逾逧迸迯逢逶迚逵逡逼迢
迷,謎
追,槌鎚縋
退,腿褪
送,鎹
通,樋
造,慥
逢,縫蓬篷
連,縺鏈蓮嗹漣
逮,靆
遂,隧燧邃
道,導
達,撻燵闥韃
遣,譴鑓
遷,韆
邑,悒癰廱扈
那,梛娜
郎,廊螂瑯榔
部,蔀
郭,廓槨
郷,饗嚮響
鄭,擲躑
酉,酬酥醪酘酲酳醸醫酪醤醯酷酣逎酢醉醢酵醇酋酸酌醒醋醐酊酒醜酖釁配醵酎醴釀醂醍酩酔醺醗
酋,楢遒猷猶尊奠鰌
釆,番釈釉竊釋悉奧
采,綵彩菜採
里,厘黑童黒哩理廛浬釐裡貍鯉裏量重埋俚狸野
重,鍾種腫踵薫衝董動
野,墅
量,糧
金,鍾鈞鐔鎬鎹鎧鋳鈑鋲鐃鍬鐚鍵鐓鎭鐇鍼鈕鈩鈔鋺鍠鎮鐐鐸鋼鋩鈍鈎鍮鏈鑢錐鉤鉱鑷釘釿鑼鏘鑵銘鉾銹鉦鑠錆劉鑰鑿鉢錚鏨釶鑪鑾銭鉉鉈錨鑽錏釵釼釟錬錙鑚鏝崟鉅鉄鉐鉋銓錘錫钁釧鏥鑛鏑録錦銅銑鉞鑁鏐鏤針釦鈴釖鑑錣錺錮銀銛鉗鋏鉚銜銕鏡錢鑄釣釜釡錠鑒鏗錯錻銃銚鉛銷銖鑞鏖錵鑓釛鎌鋸鋤鐵鐡鎰鐺鋒鈬鋪鈿鍄鐶鍋欽鎗鎚鍔鍛鏃鈴淦鋭鍜鎖鎔鐙鈷鍍鐘鐫鍖
長,肆帳悵套髟張萇脹
門,躙們濶関閭閣悶閉閠聞椚閘閤閥閹閙閧闘闔關闕闡闢闖闥捫問閃闃闍閂閖閏閔閨閻閼閑闌開閲闇閾闊閊閇間
閏,潤
閑,嫻
間,簡繝墹癇澗燗嫺
閔,憫
閣,擱
閭,櫚
闌,欄爛蘭襴瀾
阜,埠
阿,婀痾
陏,随随堕
陰,蔭
隆,嶐窿
隊,墜
隋,橢隨隨墮
隶,隸康隷棣逮
隹,躙椎雙雙帷錐癰推霍雉碓戳擢曜権惟燿歓雍售雎雁隼唯観隻舊讎讎雀雀雋雄潅耀雅雌讐讐雇崔集焦雕雜瞿准暹廱雛離雖寉維濯堆進淮勧難奪奮騅躍櫂糴稚糶虧誰雑
隻,獲護蠖穫矍
隼,凖凖準準
隽,携
雁,贋膺應軅
集,襍
雇,顧
雉,薙
雋,儁鐫
雍,擁壅甕
雜,囃
離,籬
難,攤灘儺
雨,電雩雷靈零雲雰霏需霜霎霖霍霆霞霊霓震樗霑霹霸霄櫺霈零霧霪霾霽露霰霤霙靂雪靄雫雹
雪,艝膤轌鱈
雲,靉曇繧靆
零,澪
雷,擂蕾
需,臑糯懦儒襦嬬蠕繻轜濡孺
霍,癨
霜,孀
青,蜻情静倩猜鯖錆精菁清靖靜睛晴請
静,瀞
非,俳靠靡暃悲輩誹緋翡斐霏腓鯡排裴韭匪蜚琲菲徘扉罪
面,靤靦緬麺湎靨
革,鞠靺韈靭鞣靴鞭靼靱鞦靫羇鞫鞘霸覇覊鞜鞁鞨鞴鞏羈勒鞍韃鞳韆靹鞆鞐鞄鞋鞅
韋,緯圍幃諱偉韜違韓葦衛
韭,孅齏纖韲韮讖籤殲薤懺
音,竟竟暗黯章韶幟戠韻韵響諳意熾闇
頁,頤頰領頬頽頭頷頼頡頴頻須碩類顆顋題顕纐顔穎顏顛額顎囂顳顧顱顫願顯顴領項頑頌煩頸預頒順頓頚頗頃頂頏
頃,頴穎傾潁潁
須,鬚
預,蕷
頓,噸
領,嶺嶺
頡,襭纈
頻,瀕顰蘋
頼,獺籟嬾癩懶瀬藾
顛,巓癲
風,嵐瘋飄諷颱飆颶飃颪颯楓
飛,飜
食,饗饕餮養餐喰
飠,饐饋饌饅饑飫饒饂飯飢飭飮餾餽蝕餤餬餉餡餠餒餝餞餓餅餌館餔餃飽飲飾飴飼飩饉
養,瀁癢鱶
首,馗道馘
香,馨馥
馬,馳駆騷駄駅騫騰駁馼馴騙騾驕碼驩瑪駸駟駐駑篤驛驀驂驍駒駝驚驃驗駢駭駮驟駕駛媽驅駱駿駘駲闖覊驢驪驥駻隲驤驫驫驫騎罵騨騏羈騁騅駈騒馮馭験
馮,憑
骨,體髓鶻髑骼髀髏髄骰磆骭猾榾骸滑
高,稾鎬稿髞蒿亭亭嵩膏敲槁塙犒縞
髟,髯髭髢髣髮髪髦髫鬣鬢鬘鬚鬟鬆髻髴髷髱
鬥,鬮鬧鬪鬩鬨
鬯,鬱
鬲,獻融鬻隔膈
鬼,魔魏魁魃魎魍魂蒐愧魑魅魄塊餽瑰隗傀嵬醜槐魘
魏,巍
魚,鰯鰈鰻漁鮗鮃鮎鮖鰉鰡鰺鰮鮨鯏鮴鯀鰭鰲鮑鮟鰾鰥鯆衡鮒鮓鯊鰰鰤鱗鱚鯛鯔鯡鯣鯢鯖薊鯒鱸鱆鱒鯑鯤鱇鱶鯵鯨鱈鱠蘇蘓鯲鱧鯰鯱鰕鮭魯魴鮮鰛鰔鰍鯉鮠鰊鰓鮫鮹鰆鰒鰄鰐鮪鰹鰌
魯,櫓艪
鮮,癬蘚
鳥,鵆鵝嶌嶋鵞鷄鵑鷆鶲鶇鵄鵐鳬鶺鶚鵁鳫鵜鷂蔦鶴鶻鷏鶏鶩鷁鳧鴬鷦鴿鴫鷓鷹鴦鴪鴾鷸鷯鴣鴈鴻鷭鴉鴟烏鷲鷽鴇鴆鴒鷙樢鴃鴎鴕鷺鴛鴨鶸鶫鳶鶤島鸞鵲鳩鵤鵬鵙鳴鳰鵡梟鸛鵠鵯鵈鳳鶉鸚鶯鵺
鹵,滷鹹鹸
鹿,麒麝麓麑麌麟麋麕麁麗轆塵麈鏖漉
麗,灑驪儷
麥,麩麪麭
麦,麺麸麹
麻,魔縻嘛靡糜摩麾麿麼磨
黃,簧廣黌
黄,横
黍,黐黏黎
黎,藜
黑,黥黝點黠黔黯黜默熏黶黷黨
黒,黛墨黙黙
黨,儻
黹,黼黻
黽,繩蠅鼈鼇竈
鼓,鼕皷瞽
鼠,竄鼬
鼡,猟蝋
鼻,鼾嬶嚊
齊,齋齋齎齎齏齏纃薺儕臍韲擠劑霽躋濟
齒,齟齔齬齲齦齪齧齷齣齶齠齡
齧,囓
龍,朧壟龕竜襲蘢寵隴籠瓏聾瀧
龜,龝鬮
龠,鑰籥
𠂊,奐象魚負危龜簷争贍焔陷膽憺歿急餡麁譫陥擔澹夐成成色角沒檐啗閻久諂蟾免亀瞻
𠂢,脈派
𠂤,追阜
𠔉,券巻
𦥑,爨學黌興興興鷽與覺臾盥釁釁
𦰌,謹
𩙿,餘
